tenure,monthly_charges,total_charges,churn
27,1696,83413,1
48,1559,34826,1
57,982,67150,0
10,2118,40923,0
15,916,18402,0
52,1764,24139,0
51,1423,39090,0
6,1437,49051,0
5,1630,88648,0
52,2851,10136,0
5,759,39695,1
3,725,3098,0
20,1096,46182,0
20,2354,68441,0
14,888,88207,0
22,2112,52835,0
32,1588,37038,1
1,1717,75568,1
56,2674,11832,0
13,1507,28969,1
4,2088,54606,0
60,945,24354,1
27,2231,96938,0
51,1979,26562,0
60,1294,92742,1
14,2870,49901,0
27,1850,90366,0
33,679,2062,0
16,1074,64006,1
52,2608,35657,0
